0	38.2404	2.48111	-0.411312
10	34.0298	6.69171	-0.445423
20	40.5242	0.197367	0.885638
30	38.0536	0.0351325	-0.453011
40	53.7194	0.451196	-0.333534
50	65.4377	0.031925	0.88921
60	61.716	2.46059	-0.22801
70	74.0074	0.738181	0.862617
80	77.0231	3.82589	0.0809851
90	61.0803	17.4796	0.015438
100	52.0533	27.8449	-0.115732
110	72.8186	1.23952	0.721038
120	69.9091	9.31192	0.228268
130	72.4782	6.63896	0.80302
140	69.088	3.11794	-0.232647
150	80.811	1.78847	-0.260663
160	83.4083	9.41642	-0.243576
170	101.3	0.776437	-0.00200598
180	97.2766	25.7357	0.0128157
190	131.785	90.0448	0.0695659
200	299.638	73.2383	0.471421
210	343.188	129.384	0.20885
220	380.091	139.915	0.170557
230	378.609	186.481	0.0400742
240	423.969	194.855	0.0677704
250	743.796	99.7701	0.597291
260	830.609	115.994	0.581325
270	964.954	125.91	0.588986
280	1177.85	122.999	0.635357
290	1451.09	104.62	0.684215
300	1747.67	87.6277	0.730698
310	1995.8	71.4616	0.756161
320	2178.04	59.86	0.766366
330	2316.03	58.4308	0.768659
340	2429.25	53.6066	0.774287
350	2521.22	52.9087	0.774956
360	2580.93	54.1467	0.770896
370	2639.38	58.6434	0.769477
380	2664.18	59.4082	0.763556
390	2633.01	64.3143	0.749491
400	2642.21	85.893	0.741452
410	2661.17	92.3367	0.730856
420	2713.87	97.0264	0.721767
430	2745.22	103.869	0.708745
440	2768.99	114.595	0.693202
