0	6.25676	91.747	-0.899975
10	6.58174	91.422	-0.915399
20	6.23376	91.77	-0.882485
30	7.84632	87.9619	-0.924528
40	22.59	86.6294	-0.980927
50	118.633	0.00911134	0.950255
60	117.553	0.0108677	0.946098
70	119.444	6.93311	0.970403
80	64.8618	66.6049	0.929787
90	59.0882	70.4697	0.943945
100	68.4853	62.1886	0.768292
110	57.503	68.3009	0.774041
120	45.1545	84.9547	0.929361
130	130.005	0.0173984	0.981644
140	124.246	0.0133555	0.956118
150	132.916	0.010543	0.930669
160	141.442	0.0106794	0.799374
170	149.156	0.011792	0.963569
180	38.9246	127.701	-0.990119
190	127.791	121.228	0.939686
200	73.8331	301.114	-0.989209
210	46.1877	411.867	-0.662584
220	434.43	63.1642	0.83489
230	38.0437	497.131	-0.946054
240	491.411	88.5532	0.530504
250	528.328	238.956	0.238639
260	589.58	263.579	0.225763
270	688.032	285.357	0.227855
280	992.157	156.228	0.609103
290	1127.02	233.758	0.46781
300	1476.4	117.382	0.719454
310	1676.55	110.538	0.738373
320	1832.92	96.367	0.752933
330	1938.65	104.432	0.744603
340	2045.09	88.3269	0.761282
350	2113.84	95.6362	0.766417
360	2175.73	84.5417	0.758571
370	2217.31	95.4197	0.759225
380	2239.75	94.2766	0.748664
390	2199.57	112.575	0.738484
400	2219.96	117.827	0.726501
410	2235.99	122.972	0.7129
420	2271.78	135.007	0.704278
430	2301.38	137.236	0.690393
440	2319.48	147.875	0.670442
