0	2393.04	58.3132	0.762649
10	2390.12	61.2278	0.761334
20	2392.8	58.5488	0.76169
30	2397.46	68.6613	0.759808
40	2420.17	79.5316	0.764828
50	2432.21	87.029	0.769568
60	2428.51	96.3334	0.772678
70	2446.34	81.3703	0.774738
80	2453.16	83.8658	0.774857
90	2462.93	74.2215	0.774575
100	2478.97	62.5967	0.774361
110	2495.46	56.45	0.771877
120	2506.58	50.3644	0.768875
130	2515.42	39.3691	0.773378
140	2493.36	51.8868	0.771726
150	2451.13	58.3396	0.776472
160	2359.77	75.7169	0.780077
170	2258.4	87.6788	0.786215
180	2105.6	88.9128	0.792864
190	1926.81	92.4199	0.805228
200	1797.65	92.1803	0.800134
210	1802.52	101.366	0.784412
220	1938.75	82.4251	0.787833
230	2119.79	70.757	0.781661
240	2283.71	55.5498	0.767863
250	2488.13	64.719	0.770074
260	2667.73	50.3035	0.771116
270	2805.72	49.985	0.762815
280	2942.9	32.2067	0.766623
290	3030.52	36.619	0.765442
300	3120.51	32.126	0.757867
310	3216.19	27.6837	0.750966
320	3350.8	20.9783	0.731022
330	3523.01	15.0908	0.705924
340	3748.88	14.1585	0.660592
350	4018.33	21.5631	0.609343
360	4390.68	8.71264	0.598793
370	4783.91	8.40811	0.535833
