0	0.0178033
0.002	0.0157765
0.004	0.0141066
0.006	0.0127301
0.008	0.0115721
0.01	0.0105799
0.012	0.00969806
0.014	0.00892137
0.016	0.00823974
0.018	0.00762095
0.02	0.00706403
0.022	0.00656022
0.024	0.00610463
0.026	0.00569135
0.028	0.00531612
0.03	0.0049639
0.032	0.00464772
0.034	0.00435532
0.036	0.00408721
0.038	0.00384083
0.04	0.00361411
0.042	0.00340717
0.044	0.00320841
0.046	0.00302055
0.048	0.00285241
0.05	0.0026995
0.052	0.0025554
0.054	0.0024174
0.056	0.00228553
0.058	0.00216389
0.06	0.00205223
0.062	0.00195155
0.064	0.00185889
0.066	0.00176683
0.068	0.00167937
0.07	0.00159975
0.072	0.00152742
0.074	0.00145909
0.076	0.0013936
0.078	0.00132881
0.08	0.00126909
0.082	0.00121585
0.084	0.00116456
0.086	0.00111522
0.088	0.00106789
0.09	0.00102383
0.092	0.000983248
0.094	0.000942667
0.096	0.000907935
0.098	0.000873737
0.1	0.000838667
